Rank,Name,Country,Inns,Not out,BattingAverage,run_against,total_out,others_avg,Norm_avg,ROO Score
711,Reginald Allen,Australia,2,0,22,2024,78,25.95,-3.95,-7.90
712,Andy Mckay,New Zealand,2,1,25,2441,74,32.99,-7.99,-7.99
713,Pom Pom Fellows Smith,South Africa,8,2,27.66,4414,152,29.04,-1.38,-8.28
714,Paul Whitelaw,New Zealand,4,2,32,3005,83,36.20,-4.20,-8.41
715,John Sharpe,England,6,4,22,3539,135,26.21,-4.21,-8.43
716,Stu Gillespie,New Zealand,1,0,28,2371,65,36.48,-8.48,-8.48
717,Ken Wishart,West Indies,2,0,26,2269,75,30.25,-4.25,-8.51
718,Rahmanullah Gurbaz,Afghanistan,2,0,25.5,2325,78,29.81,-4.31,-8.62
719,Baloo Gupte,India,3,2,28,5080,137,37.08,-9.08,-9.08
720,Bryan Andrews,New Zealand,3,2,22,3121,100,31.21,-9.21,-9.21
721,Dougie Marillier,Zimbabwe,7,1,31,5340,164,32.56,-1.56,-9.37
722,Humayun Farhat,Pakistan,2,0,27,2319,73,31.77,-4.77,-9.53
723,Morappakam Gopalan,India,2,1,18,2895,105,27.57,-9.57,-9.57
724,Colin Mccool,Australia,17,4,35.3,13046,362,36.04,-0.74,-9.60
725,Tabraiz Shamsi,South Africa,4,3,20,3082,104,29.63,-9.63,-9.63
726,Peter Kirsten,South Africa,22,2,31.3,10520,331,31.78,-0.48,-9.65
727,Gavin Tonge,West Indies,2,1,25,2807,81,34.65,-9.65,-9.65
728,Ollie Pope,England,97,5,34.02,45762,1341,34.13,-0.11,-9.69
729,Harry Graham,Australia,10,0,30.1,5655,182,31.07,-0.97,-9.71
730,Andy Mcbrine,Ireland,15,2,30.53,7726,247,31.28,-0.75,-9.74
731,Jack Nitschke,Australia,2,0,26.5,2920,93,31.40,-4.90,-9.80
732,Luke Jongwe,Zimbabwe,2,0,28,2340,71,32.96,-4.96,-9.92
733,Roy Miller,West Indies,1,0,23,2371,72,32.93,-9.93,-9.93
734,Sid O Linn,South Africa,12,1,27,6362,228,27.90,-0.90,-9.94
735,Dick Pougher,England,1,0,17,1974,73,27.04,-10.04,-10.04
736,Ron Hamence,Australia,4,1,27,3643,120,30.36,-3.36,-10.08
737,Iftikhar Ali Khan Pataudi,England,5,0,28.8,5550,180,30.83,-2.03,-10.17
738,Noor Ali Zadran,Afghanistan,4,0,29.25,3120,98,31.84,-2.59,-10.35
739,Don Cleverley,New Zealand,4,3,19,2734,93,29.40,-10.40,-10.40
740,Dave Gregory,Australia,5,2,20,3059,130,23.53,-3.53,-10.59
741,Anderson Phillip,West Indies,3,1,26.5,3217,101,31.85,-5.35,-10.70
742,Tim Munton,England,2,1,25,3402,95,35.81,-10.81,-10.81
743,The Hon Charles Coventry,England,2,1,13,2352,98,24.00,-11.00,-11.00
744,Billy Murdoch,England,1,0,12,11199,484,23.14,-11.14,-11.14
745,George Brown,England,12,2,29.9,6920,223,31.03,-1.13,-11.31
746,Thomas Kelly,Australia,3,0,21.33,2566,102,25.16,-3.83,-11.48
747,Shimron Hetmyer,West Indies,30,0,27.93,12065,426,28.32,-0.39,-11.75
748,Ben Curran,Zimbabwe,4,0,40.5,2871,66,43.50,-3.00,-12.00
749,Donald Carr,England,4,0,33.75,3235,88,36.76,-3.01,-12.05
750,Leslie Wight,West Indies,1,0,21,2350,71,33.10,-12.10,-12.10
751,George Mann,England,12,2,37.6,7995,206,38.81,-1.21,-12.11
752,Frank De Caires,West Indies,6,0,38.66,5372,132,40.70,-2.04,-12.22
753,Hugh Bromley Davenport,England,6,0,21.33,3490,149,23.42,-2.09,-12.56
754,Errol Hunte,West Indies,6,1,33.2,4750,133,35.71,-2.51,-12.57
755,Ariful Haque,Bangladesh,4,1,29.33,3420,102,33.53,-4.20,-12.60
756,Keith Rigg,Australia,12,0,33.41,8030,233,34.46,-1.05,-12.64
757,Assad Fudadin,West Indies,5,1,30.5,3775,112,33.71,-3.21,-12.82
758,Hemant Kanitkar,India,4,0,27.75,3777,122,30.96,-3.21,-12.84
759,Nelson Betancourt,West Indies,2,0,26,2594,80,32.43,-6.43,-12.85
760,Barry Sinclair,New Zealand,40,1,29.43,15270,513,29.77,-0.34,-13.11
761,Bill Bradley,England,2,1,23,3435,95,36.16,-13.16,-13.16
762,Lisle Nagel,Australia,2,1,21,2608,76,34.32,-13.32,-13.32
763,Ed Joyce,Ireland,2,0,23.5,2325,77,30.19,-6.69,-13.39
764,Fareed Ahmad,Afghanistan,2,1,19,1725,53,32.55,-13.55,-13.55
765,Stanley Christopherson,England,1,0,17,2239,73,30.67,-13.67,-13.67
766,Saba Karim,India,1,0,15,2985,104,28.70,-13.70,-13.70
767,Gary Stead,New Zealand,8,0,34.75,5691,156,36.48,-1.73,-13.85
768,Alfred Dipper,England,2,0,25.5,2466,76,32.45,-6.95,-13.89
769,Sailor Young,England,2,0,21.5,2850,100,28.50,-7.00,-14.00
770,John Hastings,Australia,2,0,26,2648,80,33.10,-7.10,-14.20
771,James Neblett,West Indies,2,1,16,2305,76,30.33,-14.33,-14.33
772,Tirumalai Srinivasan,India,2,0,24,2369,76,31.17,-7.17,-14.34
773,Waddington Mwayenga,Zimbabwe,2,1,15,2263,77,29.39,-14.39,-14.39
774,Fish Markham,South Africa,1,0,20,2684,78,34.41,-14.41,-14.41
775,Graham Manou,Australia,2,1,21,2553,72,35.46,-14.46,-14.46
776,George Thoms,Australia,2,0,22,2317,79,29.33,-7.33,-14.66
777,George Vernon,England,2,1,14,2269,79,28.72,-14.72,-14.72
778,Gursharan Singh,India,1,0,18,3280,100,32.80,-14.80,-14.80
779,Martin Kent,Australia,6,0,28.5,3999,129,31.00,-2.50,-15.00
780,Major Booth,England,2,0,23,2989,98,30.50,-7.50,-15.00
781,Arnold Fothergill,England,2,0,16.5,2352,98,24.00,-7.50,-15.00
782,Baqa Jilani,India,2,1,16,3221,103,31.27,-15.27,-15.27
783,Trevor Madondo,Zimbabwe,4,1,30,4357,124,35.14,-5.14,-15.41
784,Roy Scott,New Zealand,1,0,18,2206,66,33.42,-15.42,-15.42
785,Tom Curran,England,3,1,33,3712,91,40.79,-7.79,-15.58
786,Hilton Cartwright,Australia,2,0,27.5,3616,102,35.45,-7.95,-15.90
787,Imraan Khan,South Africa,1,0,20,2638,73,36.14,-16.14,-16.14
788,Winston Place,England,6,1,28.8,3947,123,32.09,-3.29,-16.45
789,Tony Pigott,England,2,1,12,2081,73,28.51,-16.51,-16.51
790,Eddie Mcleod,New Zealand,2,1,18,2625,76,34.54,-16.54,-16.54
791,Lall Singh,India,2,0,22,2393,79,30.29,-8.29,-16.58
792,Aamer Malik,Pakistan,19,3,35.31,12033,331,36.35,-1.04,-16.70
793,Mushtaq Ali,India,20,1,32.21,9497,287,33.09,-0.88,-16.73
794,Vaughan Brown,New Zealand,3,1,25.5,3285,97,33.87,-8.37,-16.73
795,Ryan Mclaren,South Africa,3,1,23.5,3221,101,31.89,-8.39,-16.78
796,Mark Burmester,Zimbabwe,4,2,27,4247,120,35.39,-8.39,-16.78
797,Maurice Allom,England,3,2,14,4595,149,30.84,-16.84,-16.84
798,Biddy Anderson,South Africa,2,0,21.5,2367,79,29.96,-8.46,-16.92
799,Irvine Shillingford,West Indies,7,0,31.14,5135,153,33.56,-2.42,-16.95
800,David Sincock,Australia,4,1,26.66,3878,120,32.32,-5.66,-16.97
801,Neville Tufnell,England,1,0,14,2387,77,31.00,-17.00,-17.00
802,Anwar Khan,Pakistan,2,1,15,2561,80,32.01,-17.01,-17.01
803,Sam Morris,Australia,2,1,14,2361,76,31.07,-17.07,-17.07
804,Clairmonte Depeiaza,West Indies,8,2,31.16,5715,168,34.02,-2.86,-17.15
805,Buster Farrer,South Africa,10,2,27.62,5954,200,29.77,-2.15,-17.20
806,Harold Butler,England,2,1,15,3319,103,32.22,-17.22,-17.22
807,Percy Holmes,England,14,1,27.46,6363,221,28.79,-1.33,-17.31
808,Azam Khan,Pakistan,1,0,14,2288,73,31.34,-17.34,-17.34
809,Sanjeev Sharma,India,3,1,28,3704,101,36.67,-8.67,-17.35
810,George Carew,West Indies,7,1,28.33,4777,153,31.22,-2.89,-17.35
811,Dick Barlow,England,30,4,22.73,10062,430,23.40,-0.67,-17.42
812,Ben Sealey,West Indies,2,0,20.5,2112,72,29.33,-8.83,-17.67
813,Justin Greaves,West Indies,10,1,24.44,4068,154,26.42,-1.98,-17.78
814,Asim Kamal,Pakistan,20,1,37.73,13147,340,38.67,-0.94,-17.82
815,Harry Alexander,Australia,2,1,17,2755,79,34.87,-17.87,-17.87
816,Otto Nothling,Australia,2,0,26,2691,77,34.95,-8.95,-17.90
817,Sep Kinneir,England,2,0,26,2764,79,34.99,-8.99,-17.97
818,Alan Thomson,Australia,5,4,22,5977,149,40.11,-18.11,-18.11
819,Alec Hearne,England,1,0,9,1982,73,27.15,-18.15,-18.15
820,Khalid Hasan,Pakistan,2,1,17,2572,73,35.23,-18.23,-18.23
821,Claude Floquet,South Africa,2,1,12,2424,80,30.30,-18.30,-18.30
822,Les Jackson,England,2,1,15,3277,98,33.44,-18.44,-18.44
823,Chandrakant Patankar,India,2,1,14,2585,79,32.72,-18.72,-18.72
824,Graeme Wood,Australia,112,6,31.83,44523,1391,32.01,-0.18,-18.86
825,Matt Henderson,New Zealand,2,1,8,2107,78,27.01,-19.01,-19.01
826,David Ironside,South Africa,4,2,18.5,3505,125,28.04,-9.54,-19.08
827,Mark Benson,England,2,0,25.5,2633,75,35.11,-9.61,-19.21
828,Jack Plimsoll,South Africa,2,1,16,2782,79,35.22,-19.22,-19.22
829,Alick Athanaze,West Indies,23,0,27.77,9384,328,28.61,-0.84,-19.31
830,Brian Mudzinganyama,Zimbabwe,1,0,16,2650,75,35.33,-19.33,-19.33
831,Colin Guest,Australia,1,0,11,2371,78,30.40,-19.40,-19.40
832,Brandon Bess,West Indies,2,1,11,2346,77,30.47,-19.47,-19.47
833,James Cranston,England,2,0,15.5,2001,79,25.33,-9.83,-19.66
834,Gary Robertson,New Zealand,1,0,12,2475,78,31.73,-19.73,-19.73
835,Collis King,West Indies,16,3,32.15,8822,262,33.67,-1.52,-19.78
836,Masood Anwar,Pakistan,2,0,19.5,2322,79,29.39,-9.89,-19.78
837,Mohammad Ayub,Pakistan,2,0,23.5,2550,76,33.55,-10.05,-20.11
838,Sunzamul Islam,Bangladesh,1,0,24,3132,71,44.11,-20.11,-20.11
839,Brian Bennett,Zimbabwe,5,1,32.5,3529,94,37.54,-5.04,-20.17
840,Fred Tate,England,2,1,9,2411,81,29.77,-20.77,-20.77
841,Harry Makepeace,England,8,0,34.87,5362,143,37.50,-2.63,-21.01
842,Billy Griffith,England,5,0,31.4,4488,126,35.62,-4.22,-21.10
843,Roy Kilner,England,8,1,33.28,7297,201,36.30,-3.02,-21.16
844,Praveen Jayawickrama,Sri Lanka,6,5,12,6029,181,33.31,-21.31,-21.31
845,Milan Rathnayake,Sri Lanka,5,0,30.2,5239,152,34.47,-4.27,-21.34
846,Chris Schofield,England,3,0,22.33,2857,97,29.45,-7.12,-21.37
847,Suresh Perera,Sri Lanka,4,1,25.66,4068,124,32.81,-7.15,-21.44
848,Marquino Mindley,West Indies,2,1,11,2583,79,32.70,-21.70,-21.70
849,Robert Gleeson,South Africa,2,1,4,2086,81,25.75,-21.75,-21.75
850,Frank Allan,Australia,1,0,5,2049,76,26.96,-21.96,-21.96
851,Kusal Perera,Sri Lanka,41,3,30.97,19406,615,31.55,-0.58,-22.21
852,Alan Dawson,South Africa,1,0,10,2974,92,32.33,-22.33,-22.33
853,Jenni Irani,India,3,2,3,3043,120,25.36,-22.36,-22.36
854,Beuran Hendricks,South Africa,2,1,9,2559,81,31.59,-22.59,-22.59
855,George Street,England,2,1,11,2419,72,33.60,-22.60,-22.60
856,Dick Pollard,England,3,2,13,5022,141,35.62,-22.62,-22.62
857,Billy Newham,England,2,0,13,1945,80,24.31,-11.31,-22.63
858,Hopper Levett,England,2,1,7,2342,79,29.65,-22.65,-22.65
859,Suryakumar Yadav,India,1,0,8,2207,72,30.65,-22.65,-22.65
860,Matt Parkinson,England,1,0,8,2399,78,30.76,-22.76,-22.76
861,Charlie Lock,Zimbabwe,2,1,8,2399,78,30.76,-22.76,-22.76
862,Denis Tomlinson,South Africa,1,0,9,2291,72,31.82,-22.82,-22.82
863,Alan Smith,England,7,3,29.5,7046,200,35.23,-5.73,-22.92
864,John Commins,South Africa,6,1,25,3760,127,29.61,-4.61,-23.03
865,Aubrey Smith,England,1,0,3,2031,78,26.04,-23.04,-23.04
866,Fred Susskind,South Africa,8,0,33.5,4622,127,36.39,-2.89,-23.15
867,Harry Smith,England,1,0,7,2234,74,30.19,-23.19,-23.19
868,Bunny Butler,West Indies,1,0,16,2826,72,39.25,-23.25,-23.25
869,Greg Lamb,Zimbabwe,2,0,23,2632,76,34.63,-11.63,-23.26
870,Andy Pycroft,Zimbabwe,5,0,30.4,4102,117,35.06,-4.66,-23.30
871,Shah Nyalchand,India,2,1,7,2184,72,30.33,-23.33,-23.33
872,Monty Bowden,England,2,0,12.5,2327,96,24.24,-11.74,-23.48
873,Azhar Khan,Pakistan,1,0,14,2700,72,37.50,-23.50,-23.50
874,Tawanda Mupariwa,Zimbabwe,2,1,15,2772,72,38.50,-23.50,-23.50
875,William Moule,Australia,2,0,20,2478,78,31.77,-11.77,-23.54
876,Shaun Young,Australia,2,1,4,2242,81,27.68,-23.68,-23.68
877,Frank Mitchell,England,4,0,22,4498,161,27.94,-5.94,-23.75
878,Josh Hull,England,2,1,9,2593,79,32.82,-23.82,-23.82
879,Lalchand Rajput,India,4,0,26.25,3221,100,32.21,-5.96,-23.84
880,Simon Brown,England,2,1,11,2733,78,35.04,-24.04,-24.04
881,Craig Young,Ireland,2,1,4,2951,105,28.10,-24.10,-24.10
882,Jack Durston,England,2,1,8,2517,78,32.27,-24.27,-24.27
883,Shaun Von Berg,South Africa,2,0,20,2541,79,32.16,-12.16,-24.33
884,Sujeewa De Silva,Sri Lanka,2,1,10,4022,117,34.38,-24.38,-24.38
885,Ken Palmer,England,1,0,10,2652,77,34.44,-24.44,-24.44
886,Tom Puna,New Zealand,5,3,15.5,3413,123,27.75,-12.25,-24.50
887,Tony Lewis,England,16,2,32.64,8908,259,34.39,-1.75,-24.55
888,Chris Cairns,New Zealand,104,5,33.53,48607,1439,33.78,-0.25,-24.58
889,Min Patel,England,2,0,22.5,3480,100,34.80,-12.30,-24.60
890,Clint Mckay,Australia,1,0,10,2807,81,34.65,-24.65,-24.65
891,Shahid Saeed,Pakistan,1,0,12,2755,75,36.73,-24.73,-24.73
892,Blair Tickner,New Zealand,3,2,13,4726,125,37.81,-24.81,-24.81
893,Karl Nunes,West Indies,8,0,30.62,4759,141,33.75,-3.13,-25.05
894,Bryan Young,New Zealand,68,4,31.78,26252,816,32.17,-0.39,-25.06
895,Kaushik Amalean,Sri Lanka,3,2,9,3179,93,34.18,-25.18,-25.18
896,Liam Livingstone,England,2,1,16,3295,80,41.19,-25.19,-25.19
897,Keegan Meth,Zimbabwe,4,1,24,3440,106,32.45,-8.45,-25.36
898,Clive Van Ryneveld,South Africa,33,6,26.81,14320,516,27.75,-0.94,-25.43
899,Usman Salahuddin,Pakistan,2,0,18.5,2220,71,31.27,-12.77,-25.54
900,John Cochran,South Africa,1,0,4,2338,79,29.59,-25.59,-25.59
901,Rajinder Pal,India,2,1,6,2470,78,31.67,-25.67,-25.67
902,Thelston Payne,West Indies,1,0,5,2427,79,30.72,-25.72,-25.72
903,Chris Burger,South Africa,4,1,20.66,2843,97,29.31,-8.65,-25.95
904,Subashis Roy,Bangladesh,6,5,14,6004,150,40.03,-26.03,-26.03
905,Nicolaas Theunissen,South Africa,2,1,2,2046,73,28.03,-26.03,-26.03
906,Gus Kempis,South Africa,2,1,0,2031,78,26.04,-26.04,-26.04
907,James Faulkner,Australia,2,0,22.5,2702,76,35.55,-13.05,-26.11
908,George Bissett,South Africa,4,2,19,5098,159,32.06,-13.06,-26.13
909,Barry Milburn,New Zealand,3,2,8,4235,124,34.15,-26.15,-26.15
910,Beau Casson,Australia,1,0,10,2823,78,36.19,-26.19,-26.19
911,Izak Buys,South Africa,2,1,4,2423,80,30.29,-26.29,-26.29
912,Arnold Warren,England,1,0,7,2598,78,33.31,-26.31,-26.31
913,Jonathan Agnew,England,4,3,10,4327,119,36.36,-26.36,-26.36
914,Ajmal Shahzad,England,1,0,5,2327,74,31.45,-26.45,-26.45
915,Irfan Fazil,Pakistan,2,1,4,2471,81,30.51,-26.51,-26.51
916,Albert Padmore,West Indies,2,1,8,3592,104,34.54,-26.54,-26.54
917,Salil Ankola,India,1,0,6,3320,102,32.55,-26.55,-26.55
918,Riaz Afridi,Pakistan,1,0,9,2782,78,35.67,-26.67,-26.67
919,Andrew Greenwood,England,4,0,19.25,2697,104,25.93,-6.68,-26.73
920,Javed Akhtar,Pakistan,2,1,4,2278,74,30.78,-26.78,-26.78
921,Litton Das,Bangladesh,84,2,34,39819,1160,34.33,-0.33,-26.79
922,Mandy Mitchell Innes,England,1,0,5,2291,72,31.82,-26.82,-26.82
923,Mal Matheson,New Zealand,1,0,7,2652,78,34.00,-27.00,-27.00
924,Dammika Ranatunga,Sri Lanka,3,0,29,3724,98,38.00,-9.00,-27.00
925,Bill Copson,England,1,0,6,4261,129,33.03,-27.03,-27.03
926,Henry Leveson Gower,England,6,2,23.75,4093,134,30.54,-6.79,-27.18
927,George Hearne,England,1,0,0,1991,73,27.27,-27.27,-27.27
928,James Whitaker,England,1,0,11,2834,74,38.30,-27.30,-27.30
929,Ted Meuli,New Zealand,2,0,19,2322,71,32.70,-13.70,-27.41
930,Bahir Shah,Afghanistan,1,0,7,2687,78,34.45,-27.45,-27.45
931,Kenia Jayantilal,India,1,0,5,3151,97,32.48,-27.48,-27.48
932,Ken Meuleman,Australia,1,0,0,1979,72,27.49,-27.49,-27.49
933,George Dockrell,Ireland,4,0,24.5,3107,99,31.38,-6.88,-27.54
934,Miran Bakhsh,Pakistan,3,2,1,2958,103,28.72,-27.72,-27.72
935,Farhan Adil,Pakistan,2,0,16.5,2377,78,30.47,-13.97,-27.95
936,Stan Nichols,England,19,7,29.58,11137,349,31.91,-2.33,-27.97
937,Emile Mcmaster,England,1,0,0,2046,73,28.03,-28.03,-28.03
938,Alphonso Roberts,West Indies,2,0,14,2215,79,28.04,-14.04,-28.08
939,Ramnath Kenny,India,10,1,27.22,5674,187,30.34,-3.12,-28.10
940,Naved Ashraf,Pakistan,3,0,21.33,2855,93,30.70,-9.37,-28.11
941,Pat Symcox,South Africa,27,1,28.5,15116,511,29.58,-1.08,-28.11
942,Dave Smith,Australia,3,1,15,2676,92,29.09,-14.09,-28.17
943,Vivek Razdan,India,2,1,6,3179,93,34.18,-28.18,-28.18
944,Tinotenda Mutombodzi,Zimbabwe,2,0,20.5,2700,78,34.62,-14.12,-28.23
945,Ted Tyler,England,1,0,0,2091,74,28.26,-28.26,-28.26
946,Edward Grace,England,2,0,18,2442,76,32.13,-14.13,-28.26
947,Ravi Shastri,India,121,14,35.79,60538,1679,36.06,-0.27,-28.46
948,Phil Newport,England,5,1,27.5,4431,128,34.62,-7.12,-28.47
949,Andy Waller,Zimbabwe,3,0,23,3089,95,32.52,-9.52,-28.55
950,Dinuka Hettiarachchi,Sri Lanka,2,1,0,2261,79,28.62,-28.62,-28.62
951,Theo Van Woerkom,Ireland,1,0,1,2325,78,29.81,-28.81,-28.81
952,Mark Haslam,New Zealand,2,1,4,3979,121,32.88,-28.88,-28.88
953,Charles Marriott,England,1,0,0,2153,74,29.09,-29.09,-29.09
954,George Mudie,West Indies,1,0,5,2423,71,34.13,-29.13,-29.13
955,Ashfaq Ahmed,Pakistan,2,1,1,2388,79,30.23,-29.23,-29.23
956,Subroto Banerjee,India,1,0,3,3133,97,32.30,-29.30,-29.30
957,Mike Smith,England,2,1,4,2465,74,33.31,-29.31,-29.31
958,Ihsanullah,Afghanistan,6,1,22,3540,127,27.87,-5.87,-29.37
959,Sonny Moloney,New Zealand,6,0,26,3801,123,30.90,-4.90,-29.41
960,Sanjeewa Weerasinghe,Sri Lanka,1,0,3,2574,79,32.58,-29.58,-29.58
961,Matthew Breetzke,South Africa,1,0,0,2309,78,29.60,-29.60,-29.60
962,Charles Mills,South Africa,2,0,12.5,1966,72,27.31,-14.81,-29.61
963,Charles Studd,England,9,1,20,4056,171,23.72,-3.72,-29.75
964,Hamish Bennett,New Zealand,1,0,4,2667,79,33.76,-29.76,-29.76
965,Laurie Nash,Australia,2,0,15,2810,94,29.89,-14.89,-29.79
966,Bharat Arun,India,2,1,4,3855,114,33.82,-29.82,-29.82
967,Bob Appleyard,England,9,6,17,7113,264,26.94,-9.94,-29.83
968,Stanley Snooke,South Africa,1,0,0,2363,79,29.91,-29.91,-29.91
969,Eddie Leadbeater,England,2,0,20,3536,101,35.01,-15.01,-30.02
970,Rory Burns,England,59,0,30.32,24879,807,30.83,-0.51,-30.03
971,Nirode Chowdhury,India,2,1,3,3935,119,33.07,-30.07,-30.07
972,Hans Ebeling,Australia,2,0,21.5,2960,81,36.54,-15.04,-30.09
973,Muhammad Hurraira,Pakistan,2,0,17.5,1725,53,32.55,-15.05,-30.09
974,Mukesh Kumar,India,4,3,0,3950,131,30.15,-30.15,-30.15
975,Vibart Wight,West Indies,4,1,22.33,3272,101,32.40,-10.07,-30.20
976,Seekkuge Prasanna,Sri Lanka,1,0,5,2542,72,35.31,-30.31,-30.31
977,Murray Bennett,Australia,5,2,23.66,4053,120,33.78,-10.12,-30.35
978,Ijaz Faqih,Pakistan,8,1,26.14,5090,167,30.48,-4.34,-30.37
979,Mohammad Ramzan,Pakistan,2,0,18,2357,71,33.20,-15.20,-30.39
980,Bill Lundie,South Africa,2,1,1,2422,77,31.45,-30.45,-30.45
981,David Smith,England,4,0,20,2680,97,27.63,-7.63,-30.52
982,Norman Gallichan,New Zealand,2,0,16,2473,79,31.30,-15.30,-30.61
983,Frederick Kuys,South Africa,2,0,13,2209,78,28.32,-15.32,-30.64
984,Rex Sellers,Australia,1,0,0,2178,71,30.68,-30.68,-30.68
985,Dennis Gamsy,South Africa,3,1,19.5,3486,100,34.86,-15.36,-30.72
986,Ernie Mayne,Australia,4,1,21.33,4138,131,31.59,-10.26,-30.77
987,Adrian Kuiper,South Africa,2,0,17,2530,78,32.44,-15.44,-30.87
988,Sam Gannon,Australia,5,4,3,4404,130,33.88,-30.88,-30.88
989,Jon Lewis,England,2,0,13.5,2346,81,28.96,-15.46,-30.93
990,Owen Dunell,South Africa,4,1,14,2310,95,24.32,-10.32,-30.95
991,Len Tuckett,South Africa,2,1,0,2507,81,30.95,-30.95,-30.95
992,Dennis Smith,New Zealand,1,0,4,2416,69,35.01,-31.01,-31.01
993,Fred Martin,England,2,0,7,2298,102,22.53,-15.53,-31.06
994,Gerald Smithson,England,3,0,23.33,3507,104,33.72,-10.39,-31.17
995,Indika Gallage,Sri Lanka,1,0,3,2436,71,34.31,-31.31,-31.31
996,Frank Misson,Australia,5,3,19,6180,178,34.72,-15.72,-31.44
997,Lincoln Roberts,West Indies,1,0,0,2392,76,31.47,-31.47,-31.47
998,Jim Mcconnon,England,3,1,9,2476,100,24.76,-15.76,-31.52
999,Joey Benjamin,England,1,0,0,2494,79,31.57,-31.57,-31.57
1000,James Tredwell,England,2,0,22.5,3982,104,38.29,-15.79,-31.58
1001,Mervyn Grell,West Indies,2,0,17,2560,78,32.82,-15.82,-31.64
1002,Bruce Bolton,New Zealand,3,0,19.66,2538,84,30.21,-10.55,-31.66
1003,Sharjeel Khan,Pakistan,2,0,22,2876,76,37.84,-15.84,-31.68
1004,Alby Roberts,New Zealand,10,1,27.55,5134,165,31.12,-3.57,-32.09
1005,Nadeem Ghauri,Pakistan,1,0,0,2066,64,32.28,-32.28,-32.28
1006,Grahame Chevalier,South Africa,2,1,0,2585,80,32.31,-32.31,-32.31
1007,Pat Crawford,Australia,5,2,17.66,4244,149,28.48,-10.82,-32.47
1008,Sachithra Senanayake,Sri Lanka,1,0,5,2887,77,37.49,-32.49,-32.49
1009,Kwena Maphaka,South Africa,1,0,0,1725,53,32.55,-32.55,-32.55
1010,Ian Blackwell,England,1,0,4,2817,77,36.58,-32.58,-32.58
1011,Ramnath Parkar,India,4,0,20,2873,102,28.17,-8.17,-32.67
1012,John Stephenson,England,2,0,18,2577,75,34.36,-16.36,-32.72
1013,Karn Sharma,India,2,1,8,3181,78,40.78,-32.78,-32.78
1014,Vincent Tancred,South Africa,2,0,12.5,2226,77,28.91,-16.41,-32.82
1015,Graham Gedye,New Zealand,8,0,24.12,4206,149,28.23,-4.11,-32.87
1016,Amit Jaggernauth,West Indies,2,1,0,2630,80,32.88,-32.88,-32.88
1017,Roy Park,Australia,1,0,0,2409,73,33.00,-33.00,-33.00
1018,Qaiser Abbas,Pakistan,1,0,2,2523,72,35.04,-33.04,-33.04
1019,Shakil Ahmed,Pakistan,1,0,1,2691,79,34.06,-33.06,-33.06
1020,Bunny Lucas,England,9,1,19.62,3802,160,23.76,-4.14,-33.14
1021,Dickie Fuller,West Indies,1,0,1,2427,71,34.18,-33.18,-33.18
1022,The Revd Vernon Royle,England,2,0,10.5,2033,75,27.11,-16.61,-33.21
1023,Henry Taberer,South Africa,1,0,2,2691,76,35.41,-33.41,-33.41
1024,Paul Taylor,England,4,2,17,3472,103,33.71,-16.71,-33.42
1025,Dan Taylor,South Africa,4,0,21.25,2931,99,29.61,-8.36,-33.42
1026,Alfred Scott,West Indies,1,0,5,3040,79,38.48,-33.48,-33.48
1027,Mantu Banerjee,India,1,0,0,3463,103,33.62,-33.62,-33.62
1028,Ali Bacher,South Africa,22,1,32.33,11606,342,33.94,-1.61,-33.72
1029,Godfrey Cripps,South Africa,2,0,10.5,1970,72,27.36,-16.86,-33.72
1030,Ryan Ramdass,West Indies,2,0,13,2331,78,29.88,-16.88,-33.77
1031,Len Wilkinson,England,2,1,3,4268,116,36.79,-33.79,-33.79
1032,Hiralal Gaekwad,India,2,0,11,2737,98,27.93,-16.93,-33.86
1033,Nadeem Khan,Pakistan,3,1,17,3359,99,33.93,-16.93,-33.86
1034,Omar Henry,South Africa,3,0,17.66,3563,123,28.97,-11.31,-33.92
1035,Esmond Kentish,West Indies,2,1,1,3531,101,34.96,-33.96,-33.96
1036,Leslie Gay,England,2,0,18.5,2874,81,35.48,-16.98,-33.96
1037,Kavem Hodge,West Indies,20,0,26,7424,268,27.70,-1.70,-34.03
1038,Joe Hunter,England,7,2,18.6,4501,177,25.43,-6.83,-34.15
1039,Jimmy Binks,England,4,0,22.75,3258,104,31.33,-8.58,-34.31
1040,Sam Billings,England,3,0,22,4415,132,33.45,-11.45,-34.34
1041,Uton Dowe,West Indies,3,2,8,6360,150,42.40,-34.40,-34.40
1042,Kenroy Peters,West Indies,1,0,0,2305,67,34.40,-34.40,-34.40
1043,Jayantha Amerasinghe,Sri Lanka,4,1,18,2977,101,29.48,-11.48,-34.43
1044,Leon Garrick,West Indies,2,0,13.5,2400,78,30.77,-17.27,-34.54
1045,Tanaka Chivanga,Zimbabwe,4,2,11,2835,100,28.35,-17.35,-34.70
1046,Gerald Bond,South Africa,1,0,0,2708,78,34.72,-34.72,-34.72
1047,Ross Duncan,Australia,1,0,3,2794,74,37.76,-34.76,-34.76
1048,Gary Wilson,Ireland,4,1,15,2794,105,26.61,-11.61,-34.83
1049,Dilshan Madushanka,Sri Lanka,2,1,0,2519,72,34.99,-34.99,-34.99
1050,Peter Truscott,New Zealand,2,0,14.5,2433,76,32.01,-17.51,-35.03
1051,David Colley,Australia,4,0,21,3899,131,29.76,-8.76,-35.05
