Rank,Name,Country,Inns,Not out,BattingAverage,run_against,total_out,others_avg,Norm_avg,ROO Score
416,Cotar Ramaswami,India,4,1,56.66,3499,94,37.22,19.44,58.31
417,Bam Bam Weekes,West Indies,3,0,57.66,3567,93,38.35,19.31,57.92
418,Vic Stollmeyer,West Indies,1,0,96,2728,71,38.42,57.58,57.58
419,Brun Smith,New Zealand,6,1,47.4,4654,129,36.08,11.32,56.61
420,Rashid Khan,Pakistan,6,3,51.66,4956,149,33.26,18.40,55.19
421,Brian Bolus,England,12,0,41.33,7695,209,36.82,4.51,54.14
422,Tony De Zorzi,South Africa,20,0,30,9131,334,27.34,2.66,53.23
423,Charles Kelleway,Australia,42,4,37.42,23053,640,36.02,1.40,53.19
424,Corbin Bosch,South Africa,2,1,81,2337,81,28.85,52.15,52.15
425,Abdullah Shafique,Pakistan,42,3,38.56,20938,562,37.26,1.30,50.85
426,David Hookes,Australia,41,3,34.36,18730,567,33.03,1.33,50.41
427,Allen Hill,England,4,2,50.5,2757,107,25.77,24.73,49.47
428,Ashraf Ali,Pakistan,8,3,45.8,7579,209,36.26,9.54,47.68
429,Kevin Arnott,Zimbabwe,8,1,43.14,4869,134,36.34,6.80,47.63
430,Ishan Kishan,India,3,2,78,3722,121,30.76,47.24,47.24
431,Frank Mann,England,9,1,35.12,5055,173,29.22,5.90,47.20
432,Tuppy Owen Smith,South Africa,8,2,42,5769,168,34.34,7.66,45.96
433,Martin Love,Australia,8,3,46.6,6184,165,37.48,9.12,45.61
434,Roshen Silva,Sri Lanka,23,3,35.1,11655,355,32.83,2.27,45.38
435,Jack Moroney,Australia,12,1,34.81,6388,208,30.71,4.10,45.08
436,Roger Hartigan,Australia,4,0,42.5,3369,107,31.49,11.01,44.06
437,Micky Stewart,England,12,1,35,7632,246,31.02,3.98,43.73
438,Sammy Woods,England,4,0,30.5,3588,183,19.61,10.89,43.57
439,Neil Mckenzie,South Africa,94,7,37.39,52756,1430,36.89,0.50,43.30
440,Shunter Coen,South Africa,4,2,50.5,2915,100,29.15,21.35,42.70
441,Lou Vincent,New Zealand,40,1,34.15,17894,541,33.08,1.07,41.89
442,Ross Gregory,Australia,3,0,51,3647,98,37.21,13.79,41.36
443,Dhruv Jurel,India,6,1,40.4,5660,176,32.16,8.24,41.20
444,Richard Hutton,England,8,2,36.5,5165,174,29.68,6.82,40.90
445,Dave Nourse,South Africa,83,8,29.78,30612,1047,29.24,0.54,40.66
446,Shadab Khan,Pakistan,11,2,33.33,5793,201,28.82,4.51,40.58
447,Jim Christy,South Africa,18,0,34.33,8638,269,32.11,2.22,39.93
448,Charlie Frank,South Africa,6,0,39.33,3928,120,32.73,6.60,39.58
449,Pathum Nissanka,Sri Lanka,26,2,38.2,15062,412,36.56,1.64,39.40
